date,bases,open_access_bases,bytes,open_access_bytes
"11/01/2016",8543301610609300,3843486933073590,4432498823628892,2427321526184979
"11/02/2016",8546324221982285,3844967867976175,4434072446495233,2428092024482174
"11/03/2016",8553915499989288,3852559145983178,4436932684455083,2430952262442024
"11/04/2016",8555781378865418,3854425024859308,4437961242998424,2431980820985365
"11/05/2016",8700799549653755,3855463512444076,4507190388390601,2433618241945892
"11/06/2016",8701403006338144,3856066969128465,4507565791736527,2433993645291818
"11/07/2016",8708822949754739,3860092079347180,4511208248136261,2436034641825668
"11/08/2016",8718060435109584,3869324260429009,4515784820407346,2440608649769810
"11/09/2016",8723814202547106,3875051622106563,4518563176002258,2443374491088511
"11/10/2016",8724761693832348,3875999113391805,4519100662668512,2443911977754765
"11/11/2016",8739631093861103,3890868513420560,4527015137261972,2451826452348225
"11/12/2016",8740727269145756,3891964688705213,4527612287525466,2452423602611719
"11/13/2016",8742093179969378,3893330599528835,4528227642344935,2453038957431188
"11/14/2016",8758980677678289,3910218097237746,4538731408607898,2463542723694151
"11/15/2016",8762369124029757,3913199807649254,4540785857968436,2465293950240349
"11/16/2016",8783733525934276,3934454866625533,4553791369340995,2478219164795121
"11/17/2016",8787149596861889,3937731079161980,4555568501798791,2479926120892479
